Symbol,Name,MarketCap,Sector,Industry
PIH,"1347 Property Insurance Holdings, Inc.",42903835,Finance,Property-Casualty Insurers
FLWS,"1-800 FLOWERS.COM, Inc.",645855221,Consumer Services,Other Specialty Stores
FCCY,1st Constitution Bancorp (NJ),149084165,Finance,Savings Institutions
SRCE,1st Source Corporation,1219728113,Finance,Major Banks
VNET,"21Vianet Group, Inc.",410024702,Technology,"Computer Software: Programming, Data Processing"
TWOU,"2U, Inc.",1778204869,Technology,Computer Software: Prepackaged Software
JOBS,"51job, Inc.",953844008,Technology,Diversified Commercial Services
CAFD,8point3 Energy Partners LP,1020828299,Public Utilities,Electric Utilities: Central
EGHT,8x8 Inc,1354899286,Public Utilities,Telecommunications Equipment
AVHI,"A V Homes, Inc.",379300779,Capital Goods,Homebuilding
SHLM,"A. Schulman, Inc.",1008955920,Basic Industries,Major Chemicals
AAON,"AAON, Inc.",1858239090,Capital Goods,Industrial Machinery/Components
ABAX,"ABAXIS, Inc.",1110320400,Capital Goods,Industrial Machinery/Components
ABEO,Abeona Therapeutics Inc.,199797840,Health Care,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,0,Health Care,Major Pharmaceuticals
ABIL,Ability Inc.,63875232,Finance,Business Services
ABMD,"ABIOMED, Inc.",5256504518,Health Care,Medical/Dental Instruments
AXAS,Abraxas Petroleum Corporation,344891656,Energy,Oil & Gas Production
ACIU,AC Immune SA,717932704,Health Care,Major Pharmaceuticals
ACIA,"Acacia Communications, Inc.",2044052049,Technology,Semiconductors
ACTG,Acacia Research Corporation,302780280,Miscellaneous,Multi-Sector Companies
ACHC,"Acadia Healthcare Company, Inc.",3986289183,Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,4478727323,Health Care,Major Pharmaceuticals
ACST,"Acasti Pharma, Inc.",12640205,Health Care,Major Pharmaceuticals
AXDX,"Accelerate Diagnostics, Inc.",1357055531,Capital Goods,Biotechnology: Laboratory Analytical Instruments
XLRN,Acceleron Pharma Inc.,1121826069,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANCX,Access National Corporation,288667608,Finance,Savings Institutions
ARAY,Accuray Incorporated,451790323,Health Care,Medical/Dental Instruments
ACRX,"AcelRx Pharmaceuticals, Inc.",154134886,Health Care,Major Pharmaceuticals
ACET,Aceto Corporation,460439100,Health Care,Other Pharmaceuticals
AKAO,"Achaogen, Inc.",892020256,Health Care,Major Pharmaceuticals
ACHN,"Achillion Pharmaceuticals, Inc.",557825470,Health Care,Major Pharmaceuticals
ACIW,"ACI Worldwide, Inc.",2581535842,Technology,Computer Software: Prepackaged Software
ACRS,"Aclaris Therapeutics, Inc.",836986018,Health Care,Major Pharmaceuticals
ACNB,ACNB Corporation,180104899,Finance,Major Banks
ACOR,"Acorda Therapeutics, Inc.",1264613913,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATVI,"Activision Blizzard, Inc",35389436313,Technology,Computer Software: Prepackaged Software
ACTA,Actua Corporation,471007332,Technology,EDP Services
ACXM,Acxiom Corporation,2209982186,Technology,EDP Services
ADMS,"Adamas Pharmaceuticals, Inc.",390627763,Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,77165778,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc,150080044,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADUS,Addus HomeCare Corporation,390332209,Health Care,Medical/Nursing Services
AEY,"ADDvantage Technologies Group, Inc.",18747321,Consumer Services,Office Equipment/Supplies/Services
IOTS,Adesto Technologies Corporation,58861814,Technology,Semiconductors
ADMA,ADMA Biologics Inc,61469755,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Systems Incorporated,59309180139,Technology,Computer Software: Prepackaged Software
ADTN,"ADTRAN, Inc.",1045598544,Public Utilities,Telecommunications Equipment
ADRO,"Aduro Biotech, Inc.",755799975,Health Care,Major Pharmaceuticals
AAAP,Advanced Accelerator Applications S.A.,1557769619,Health Care,Major Pharmaceuticals
ADES,"Advanced Emissions Solutions, Inc.",233663736,Basic Industries,Major Chemicals
AEIS,"Advanced Energy Industries, Inc.",2468148548,Capital Goods,Industrial Machinery/Components
AMD,"Advanced Micro Devices, Inc.",12258078278,Technology,Semiconductors
ADXS,"Advaxis, Inc.",369925236,Health Care,Major Pharmaceuticals
ADXSW,"Advaxis, Inc.",0,Health Care,Major Pharmaceuticals
ADVM,"Adverum Biotechnologies, Inc.",118897768,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MAUI,AdvisorShares Market Adaptive Unconstrained Income ETF,1210000,n/a,n/a
AEGN,Aegion Corp,802198336,Basic Industries,Water Supply
AGLE,"Aeglea BioTherapeutics, Inc.",82331006,Health Care,Major Pharmaceuticals
AEHR,Aehr Test Systems,84715074,Capital Goods,Electrical Products
AMTX,"Aemetis, Inc",24226982,Basic Industries,Major Chemicals
AERI,"Aerie Pharmaceuticals, Inc.",1592329509,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVAV,"AeroVironment, Inc.",629841802,Capital Goods,Aerospace
AEZS,AEterna Zentaris Inc.,38753985,Health Care,Major Pharmaceuticals
AEMD,"Aethlon Medical, Inc.",27707492,Capital Goods,Biotechnology: Laboratory Analytical Instruments
GNMX,"Aevi Genomic Medicine, Inc.",176214754,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AFMD,Affimed N.V.,108148510,Health Care,Major Pharmaceuticals
AGEN,Agenus Inc.,358088600,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRX,"Agile Therapeutics, Inc.",62979405,Health Care,Major Pharmaceuticals
AGYS,"Agilysys, Inc.",207896507,Technology,EDP Services
AGIO,"Agios Pharmaceuticals, Inc.",2152260743,Health Care,Major Pharmaceuticals
AGNC,AGNC Investment Corp.,6475261266,Consumer Services,Real Estate Investment Trusts
AGNCB,AGNC Investment Corp.,8834477117,Consumer Services,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp.,0,Consumer Services,Real Estate Investment Trusts
AGFS,"AgroFresh Solutions, Inc.",137789031,Finance,Business Services
